"V1","V5","V6","V7","V8"
2.533,673,675.9189,165148.7,543.9016
2.534,673,675.9252,165175.5,543.9633
2.535,673,675.9315,165202.4,544.0249
2.536,673,675.9378,165229.2,544.0866
2.537,673,675.9441,165256.1,544.1483
2.538,673,675.9504,165283,544.2101
2.539,673,675.9567,165309.9,544.2719
2.54,673,675.9631,165336.9,544.3337
2.541,673,675.9694,165363.8,544.3956
2.542,673,675.9757,165390.8,544.4575
2.543,673,675.9821,165417.9,544.5195
2.544,673,675.9884,165444.9,544.5814
2.545,673,675.9948,165472,544.6435
2.546,673,676.0011,165499.1,544.7055
2.547,673,676.0075,165526.2,544.7676
2.548,673,676.0138,165553.3,544.8297
2.549,673,676.0202,165580.5,544.8919
2.55,673,676.0266,165607.7,544.954
2.551,673,676.033,165634.9,545.0163
2.552,673,676.0393,165662.1,545.0785
2.553,673,676.0457,165689.4,545.1408
2.554,673,676.0521,165716.7,545.2031
2.555,673,676.0585,165744,545.2655
2.556,673,676.0649,165771.3,545.3278
2.557,673,676.0713,165798.6,545.3903
2.558,673,676.0777,165826,545.4527
2.559,673,676.0841,165853.4,545.5152
2.56,673,676.0905,165880.8,545.5776
2.561,673,676.0969,165908.2,545.6402
2.562,673,676.1034,165935.7,545.7027
2.563,673,676.1098,165963.2,545.7653
2.564,673,676.1162,165990.7,545.828
2.565,673,676.1227,166018.2,545.8906
2.566,673,676.1291,166045.7,545.9533
2.567,673,676.1355,166073.3,546.016
2.568,673,676.142,166100.9,546.0788
2.569,673,676.1485,166128.5,546.1416
2.57,673,676.1549,166156.2,546.2044
2.571,673,676.1614,166183.8,546.2673
2.572,673,676.1678,166211.5,546.3302
2.573,673,676.1743,166239.2,546.3931
2.574,673,676.1808,166267,546.4561
2.575,673,676.1873,166294.7,546.5191
2.576,673,676.1938,166322.5,546.5821
2.577,673,676.2002,166350.3,546.6451
2.578,673,676.2067,166378.2,546.7082
2.579,673,676.2132,166406,546.7714
2.58,673,676.2197,166433.9,546.8345
2.581,673,676.2263,166461.8,546.8977
2.582,673,676.2328,166489.7,546.9609
2.583,673,676.2393,166517.7,547.0242
2.584,673,676.2458,166545.7,547.0875
2.585,673,676.2523,166573.6,547.1508
